stimulus_id,Happy,Beauty,Calm,Energizing,Angry,Electric/Acoustic,Distorted/Clear,Heavy/Light,Punchy/Smooth,Harmonious/Disharmonious,voice_age,voice_gender,voice_exagg,voice_type,target_of_toy_ad
nbUOQ6gAudo,moderately,not,not,very,very,undefined,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
n33_dTKSLTo,very,moderately,very,very,not,Acoustic,Clear,undefined,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
_mWQG-4Sc2U,not,moderately,not,very,moderately,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
BooeikkiNKw,moderately,very,very,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
weHJ1rLykgs,moderately,moderately,moderately,very,very,Electric,Distorted,Heavy,Punchy,Harmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,Boys/men
mae-_KQhQ60,very,very,very,not,not,undefined,Clear,Light,undefined,undefined,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
iQF1XSOxHcs,moderately,not,not,moderately,moderately,Acoustic,undefined,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
e2KvH1ZAX84,moderately,moderately,not,very,moderately,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
6q8reMr7gNA,very,moderately,moderately,very,not,undefined,undefined,Light,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Mixed
m_ILlDydHwk,not,not,moderately,moderately,moderately,undefined,Distorted,undefined,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
5P9kXntCLPw,very,very,moderately,very,not,Electric,undefined,undefined,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
fzl2R57Xsx0,moderately,very,moderately,not,moderately,Electric,undefined,undefined,Smooth,undefined,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
KJSFkldABdY,very,moderately,very,very,moderately,Acoustic,Clear,Light,Smooth,Harmonious,BOTH children and adults,BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
CN9qybFVIr8,very,moderately,moderately,very,not,Acoustic,Clear,undefined,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
5fxq9sCyMqM,not,not,not,not,not,Acoustic,undefined,undefined,undefined,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
i2-2px8n-64,moderately,very,moderately,not,moderately,Electric,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
4Hl1wINuquM,very,very,very,moderately,moderately,undefined,Distorted,Heavy,Punchy,undefined,BOTH children and adults,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
Jq4T0dXB_60,moderately,not,not,moderately,not,Acoustic,Clear,undefined,Smooth,undefined,BOTH children and adults,BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
7V_e5xlmSqM,not,not,moderately,very,moderately,Electric,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
_XU5qHsC4Aw,moderately,very,very,moderately,moderately,Electric,Distorted,undefined,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
bfDv-c9E_Is,moderately,very,very,not,not,undefined,undefined,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
Drg9AMJCWRk,not,not,not,very,very,undefined,undefined,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
YlE0pteWuR8,moderately,not,very,not,moderately,Acoustic,Distorted,undefined,Punchy,Disharmonious,Children,BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
U84RMyBtFak,not,not,not,very,very,undefined,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
L90gLiPafb4,moderately,moderately,very,not,not,Electric,undefined,undefined,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
isykm48MUPM,not,not,not,moderately,very,Acoustic,undefined,Heavy,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
izuCJwPgG-Q,very,very,very,moderately,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
27vHKP9QsqU,moderately,moderately,very,not,not,Acoustic,Distorted,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
GUJ8PfvfQOU,very,not,moderately,very,moderately,Electric,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
8D5akawtCjg,moderately,very,moderately,not,not,undefined,undefined,Light,undefined,undefined,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
EPIML-8H-xY,not,not,not,moderately,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
YOaA1JMpq-0,very,very,very,not,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
42wqjpxHMdA,very,very,very,very,not,Acoustic,Clear,Light,undefined,Harmonious,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Mixed
3IT9g-IHkcE,not,not,moderately,moderately,not,Acoustic,Clear,undefined,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
z6cj2wHF1rA,very,moderately,very,not,not,Electric,undefined,undefined,Punchy,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
5PEpjVowR90,very,not,not,very,very,Electric,Distorted,Heavy,undefined,undefined,BOTH children and adults,Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
AtNnedkKLnM,not,not,not,moderately,very,undefined,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
DPDwNEZJNJY,very,moderately,moderately,not,not,Acoustic,Clear,Light,Smooth,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
jNW2XxPUDqc,very,moderately,moderately,moderately,very,undefined,undefined,undefined,Smooth,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
YX2Ozh9Msf0,not,not,moderately,moderately,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
2-m3SEGs0kM,moderately,moderately,moderately,not,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
9CRrye6_oFo,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
2KH0C36fKkk,moderately,moderately,moderately,not,not,Electric,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
ixaVqD1Yzls,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
Sk5kM8XiXkk,not,not,moderately,not,very,Acoustic,undefined,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
pdzliNhlqWI,moderately,very,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
qymG5taSseY,very,moderately,very,not,moderately,Acoustic,Clear,undefined,undefined,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
WiZbb-QOStc,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
Lnbrdx2iNZQ,not,moderately,not,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
qqV8wfRzDrA,very,very,very,very,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
MbDAn99yLwA,very,moderately,moderately,moderately,moderately,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
feHcsAdEcbI,moderately,moderately,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
NOpz_7iEGD4,not,moderately,very,not,moderately,Acoustic,Clear,Light,Smooth,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
wWt38u3ikbQ,not,not,moderately,moderately,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
TLdsiPBq3IE,moderately,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
BMSh7nl1pK8,not,moderately,not,moderately,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
ZkKgHOgNKEU,not,not,not,very,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
2g5RT58wvMQ,very,moderately,moderately,moderately,not,Acoustic,Clear,Light,Smooth,Harmonious,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
yyyapflC9Wk,very,very,moderately,not,moderately,undefined,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
8x2cXDumjKU,not,very,very,not,not,undefined,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
FvUgpHx9nKs,very,very,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
N-nPqprf5Yo,not,not,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
sAvsN1Ogq4U,not,not,not,moderately,very,undefined,undefined,Heavy,Smooth,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
gmKuMXGtLiU,moderately,not,not,very,very,Electric,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
972oFsnpDmE,very,moderately,not,moderately,not,Acoustic,Clear,Light,Smooth,Harmonious,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
jk0uhPvBnaI,moderately,moderately,moderately,moderately,moderately,Electric,undefined,undefined,Smooth,undefined,Children,Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
fd-TEgqVsXY,moderately,moderately,not,very,very,undefined,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,Boys/men
_kGMj1M8ko8,not,not,not,not,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
Ey3HojynMqM,not,not,very,moderately,moderately,undefined,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
c62P3ERJ3_s,not,not,not,very,very,Acoustic,Distorted,undefined,Smooth,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
Zl-50U1tsBM,not,not,not,very,very,undefined,undefined,Heavy,undefined,undefined,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
qeFDbx2HsxQ,not,not,not,moderately,very,Acoustic,Clear,Heavy,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
hNEvIimRhe8,very,not,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Boys/men
HO-GyyhtDnA,not,not,not,very,very,undefined,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
hrpsvMHAkDI,moderately,not,not,not,very,Electric,Distorted,Heavy,Punchy,Harmonious,BOTH children and adults,Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Boys/men
WkkrKcyoiA4,very,moderately,not,not,moderately,undefined,Clear,Light,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
K1T7llOr_VQ,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Mixed
1ElWzIJJCQI,moderately,very,very,not,not,undefined,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
ELhRcGY6XyI,very,moderately,not,moderately,moderately,Acoustic,Clear,undefined,undefined,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
tDuM3Kd5fs4,very,very,very,very,not,undefined,undefined,undefined,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
YwJMELJf754,moderately,not,not,moderately,moderately,undefined,undefined,undefined,Punchy,undefined,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
5o0l0bpeTaQ,very,moderately,moderately,very,not,Electric,undefined,undefined,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
CfmWvEX_r7Y,very,moderately,moderately,very,not,Electric,undefined,undefined,Punchy,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
ZGYsE6m0YtY,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
s6YcdEEF2H4,not,not,not,moderately,very,Electric,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
VIqv8YRVDuY,very,very,very,not,not,Acoustic,undefined,Light,Smooth,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
flaRc0J0BwM,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
RuAaIaNv48k,very,moderately,moderately,very,moderately,undefined,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Boys/men
K2JvLAtwVcY,not,not,not,moderately,very,undefined,Clear,Heavy,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
RxYisyVBAdI,not,moderately,moderately,moderately,very,Electric,Distorted,Heavy,Punchy,undefined,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
9AVeLwg2LAw,moderately,not,not,moderately,moderately,Acoustic,undefined,undefined,undefined,Harmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
tTn1rY6EC7M,moderately,moderately,not,moderately,not,Acoustic,Clear,undefined,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
ocMZASGjbhg,not,not,not,very,very,undefined,Distorted,Heavy,Punchy,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
J1jTgT6DVfs,very,very,very,moderately,not,Acoustic,undefined,Light,Smooth,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
fkd9m4Lc9W8,not,moderately,not,very,very,undefined,Distorted,Heavy,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
VhOKmLf9JY8,not,not,not,not,not,Acoustic,undefined,Light,Smooth,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
_3GbX2_IaI8,not,not,not,very,very,Electric,Distorted,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
aaHbR1KXwYM,moderately,moderately,not,not,not,undefined,Clear,undefined,Punchy,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
Bqw_nmsQQy4,moderately,not,very,moderately,not,undefined,undefined,undefined,undefined,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
tyjlxbHsnuY,not,very,moderately,not,moderately,Electric,undefined,undefined,Punchy,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
Mjrbh-vceUE,moderately,very,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
Rk2yWHQjYJI,not,moderately,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
kL9qia-G10g,not,moderately,very,not,not,Acoustic,Clear,Light,Smooth,undefined,Children,Masculine,"No, all voices are normal-sounding",Spoken,Mixed
YGxld6FysWU,not,not,moderately,moderately,very,undefined,Clear,Heavy,Smooth,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
gZwHQ9CGyJY,very,moderately,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Boys/men
ijHYsEGGRRY,not,not,not,moderately,very,undefined,undefined,Heavy,Smooth,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
tNru1d6XMuY,moderately,moderately,moderately,very,not,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
xP4PYl5twno,very,moderately,very,very,very,Acoustic,Clear,undefined,Punchy,undefined,There are no voices,There are no voices,"No, all voices are normal-sounding",There are no voices,There are no actors/presenters or you can never see their faces
uL3HLM6cWCE,very,moderately,moderately,very,moderately,Acoustic,Distorted,Heavy,Punchy,Disharmonious,BOTH children and adults,Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
XUpgpnqB5RA,moderately,not,not,very,very,Electric,Distorted,Heavy,Punchy,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
ebUStbjgKXE,not,moderately,very,not,not,undefined,Clear,Light,Smooth,Harmonious,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
XDf_J2ajI7Q,moderately,moderately,very,moderately,moderately,undefined,undefined,undefined,undefined,Harmonious,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Mixed
HmN4c8UShsk,not,not,moderately,very,very,Acoustic,Clear,undefined,Smooth,Disharmonious,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
f6C_P7xu2fc,very,very,very,not,not,Electric,Clear,Light,Smooth,undefined,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
0YThUgMIgac,not,not,moderately,not,moderately,undefined,undefined,undefined,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
NGgyM6U8HQQ,very,moderately,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
Zie8xaLG8_M,moderately,not,not,moderately,moderately,undefined,undefined,Light,undefined,undefined,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
JUaDM8hQBqw,very,very,very,not,not,Electric,undefined,undefined,undefined,undefined,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
Dvcp5sr5AcA,not,not,not,moderately,very,Acoustic,undefined,Heavy,undefined,Harmonious,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
IgiFNotHmKg,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
sv3SUIunbL0,very,very,very,very,moderately,Acoustic,Distorted,Heavy,undefined,Disharmonious,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,Boys/men
ttsmGXduEb0,very,very,very,not,not,Acoustic,Clear,Light,Smooth,Harmonious,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
aUOl_DWdEu8,very,very,very,not,not,Acoustic,Clear,Light,undefined,Harmonious,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
