stimulus_id,Happy,Amusing,Beauty,Calm,Energizing,Angry,Triumphant,Many Instruments/Few Instruments,Wide pitch variation/Narrow pitch variation,Clear melody/No melody,Repetitive/Non-repetitive,Complex rhythm/Simple rhythm,Fast tempo/Slow tempo,Strong beat/Weak beat,Electric/Acoustic,Distorted/Clear,Loud/Soft,Heavy/Light,High pitch/Low pitch,Punchy/Smooth,Harmonious/Disharmonious,Dense/Sparse,voice_age,voice_gender,voice_exagg,voice_type,target_of_toy_ad
AB8ud4ogIvo,low,low,high,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Fast tempo,Weak beat,Electric,Clear,Soft,Light,High pitch,Smooth,Disharmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
WnkUUi5AwQo,high,low,high,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Clear,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Sung,Girls/women
04YHrUko8yI,low,low,low,high,high,high,low,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Clear,Loud,Heavy,Low pitch,Smooth,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
TjHHKNWKMPE,low,low,high,low,high,high,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Strong beat,Acoustic,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
cvvhKy1PFn8,low,high,low,low,high,high,high,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Soft,Heavy,Low pitch,Smooth,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Mixed
FhyVUb25Ilc,low,low,low,low,high,high,high,Many Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
gXO6upZqhNc,low,high,low,low,high,high,low,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
Eej5_xQMdF0,high,high,high,high,high,low,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Clear,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
MzsYGbir9i4,low,high,low,low,high,high,low,Few Instruments,Wide pitch variation,No melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
CNuIw1S2OMM,low,high,low,high,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Electric,Distorted,Soft,Light,High pitch,Punchy,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
c3lOglJbNMo,high,low,high,low,low,high,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,High pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
ZaWRrNOseg4,low,low,low,low,low,low,high,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Electric,Clear,Soft,Light,High pitch,Punchy,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
PjA-VYesTtw,high,high,high,low,high,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
xNGvheoGSrE,high,high,high,high,high,high,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
nbUOQ6gAudo,high,high,low,low,high,high,low,Many Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
n33_dTKSLTo,high,low,high,high,high,low,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
_mWQG-4Sc2U,low,low,low,low,high,high,low,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
BooeikkiNKw,low,low,high,high,high,high,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,High pitch,Punchy,Disharmonious,Dense,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Sung,There are no actors/presenters or you can never see their faces
weHJ1rLykgs,low,low,high,low,high,high,high,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,BOTH spoken and sung,Boys/men
mae-_KQhQ60,high,high,high,high,low,low,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Clear,Soft,Light,High pitch,Punchy,Disharmonious,Sparse,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
iQF1XSOxHcs,low,high,low,low,high,high,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
e2KvH1ZAX84,low,low,low,low,high,high,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Distorted,Soft,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
6q8reMr7gNA,high,high,high,high,high,low,high,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Electric,Clear,Soft,Light,High pitch,Punchy,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Sung,Mixed
m_ILlDydHwk,low,low,low,low,low,high,high,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Heavy,Low pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
5P9kXntCLPw,high,high,high,high,high,low,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Clear,Loud,Light,High pitch,Punchy,Disharmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
fzl2R57Xsx0,low,high,high,high,low,low,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Clear,Soft,Light,Low pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
KJSFkldABdY,high,high,high,high,high,high,high,Few Instruments,Wide pitch variation,Clear melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,BOTH children and adults,BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
CN9qybFVIr8,high,high,low,high,high,low,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Acoustic,Clear,Loud,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
5fxq9sCyMqM,low,high,low,low,low,low,low,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Weak beat,Acoustic,Distorted,Loud,Light,High pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
i2-2px8n-64,low,low,high,low,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Soft,Light,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
4Hl1wINuquM,high,high,high,high,high,high,high,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,BOTH children and adults,Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
Jq4T0dXB_60,high,high,low,low,high,low,low,Few Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,Low pitch,Smooth,Disharmonious,Sparse,BOTH children and adults,BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
7V_e5xlmSqM,low,high,low,low,high,low,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Electric,Distorted,Loud,Heavy,Low pitch,Smooth,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
_XU5qHsC4Aw,high,high,high,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Soft,Light,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Girls/women
bfDv-c9E_Is,high,high,high,high,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Soft,Light,High pitch,Smooth,Harmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
Drg9AMJCWRk,low,low,low,low,high,high,low,Many Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
YlE0pteWuR8,low,high,low,high,low,high,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Strong beat,Acoustic,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Sparse,Children,BOTH feminine and masculine voices,"No, all voices are normal-sounding",Spoken,Mixed
U84RMyBtFak,low,low,low,low,high,high,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
L90gLiPafb4,high,high,high,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Fast tempo,Weak beat,Electric,Clear,Loud,Heavy,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
isykm48MUPM,low,low,low,low,low,high,low,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
izuCJwPgG-Q,high,high,high,high,high,low,high,Few Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Soft,Light,High pitch,Punchy,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
27vHKP9QsqU,low,low,high,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Distorted,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
GUJ8PfvfQOU,high,high,low,high,high,low,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Distorted,Soft,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
8D5akawtCjg,low,low,high,high,low,low,low,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Electric,Clear,Soft,Light,High pitch,Punchy,Disharmonious,Dense,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
EPIML-8H-xY,low,low,low,low,low,high,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
YOaA1JMpq-0,high,high,high,high,low,high,high,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
42wqjpxHMdA,high,high,high,high,high,low,high,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Acoustic,Clear,Soft,Light,Low pitch,Punchy,Harmonious,Dense,BOTH children and adults,Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,Mixed
3IT9g-IHkcE,low,high,low,low,high,low,low,Many Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Acoustic,Clear,Soft,Light,Low pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
z6cj2wHF1rA,high,low,high,high,low,low,high,Few Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Distorted,Soft,Light,High pitch,Punchy,Harmonious,Sparse,There are no voices,There are no voices,There are no voices,There are no voices,There are no actors/presenters or you can never see their faces
5PEpjVowR90,high,high,low,low,high,high,high,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Fast tempo,Strong beat,Electric,Distorted,Soft,Heavy,Low pitch,Punchy,Disharmonious,Sparse,BOTH children and adults,Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
AtNnedkKLnM,low,low,low,low,low,high,high,Many Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Weak beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,There are no actors/presenters or you can never see their faces
DPDwNEZJNJY,high,high,high,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
jNW2XxPUDqc,high,high,high,low,low,high,low,Few Instruments,Narrow pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Electric,Clear,Soft,Light,High pitch,Smooth,Disharmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
YX2Ozh9Msf0,low,high,low,low,high,high,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Simple rhythm,Slow tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Sparse,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
2-m3SEGs0kM,high,high,low,high,low,high,low,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
9CRrye6_oFo,low,low,low,low,high,high,high,Many Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Slow tempo,Weak beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
2KH0C36fKkk,high,low,high,high,low,low,low,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Soft,Light,High pitch,Punchy,Disharmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",BOTH spoken and sung,Girls/women
ixaVqD1Yzls,low,low,low,low,high,high,low,Many Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Slow tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Boys/men
Sk5kM8XiXkk,low,low,low,low,low,high,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,There are no actors/presenters or you can never see their faces
pdzliNhlqWI,high,high,high,high,low,low,low,Few Instruments,Wide pitch variation,Clear melody,Repetitive,Simple rhythm,Slow tempo,Strong beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,BOTH spoken and sung,There are no actors/presenters or you can never see their faces
qymG5taSseY,high,low,low,high,low,high,high,Many Instruments,Narrow pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
WiZbb-QOStc,high,low,high,high,low,low,low,Few Instruments,Narrow pitch variation,Clear melody,Non-repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
Lnbrdx2iNZQ,low,high,low,low,high,high,high,Few Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
qqV8wfRzDrA,high,high,high,high,high,low,high,Many Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Acoustic,Clear,Loud,Light,High pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,"No, all voices are normal-sounding",BOTH spoken and sung,Mixed
MbDAn99yLwA,high,high,high,high,low,high,high,Few Instruments,Narrow pitch variation,Clear melody,Repetitive,Complex rhythm,Fast tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Feminine,"No, all voices are normal-sounding",Spoken,Mixed
feHcsAdEcbI,high,high,high,low,high,high,high,Many Instruments,Wide pitch variation,No melody,Non-repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
NOpz_7iEGD4,low,low,high,high,low,low,low,Many Instruments,Wide pitch variation,Clear melody,Repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,There are no voices,There are no voices,There are no voices,There are no voices,Boys/men
wWt38u3ikbQ,low,low,low,low,low,high,high,Many Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Harmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
TLdsiPBq3IE,high,high,low,high,low,low,low,Few Instruments,Narrow pitch variation,No melody,Repetitive,Simple rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Adults (including young adults),Masculine,"No, all voices are normal-sounding",Spoken,Mixed
BMSh7nl1pK8,low,low,high,low,high,high,low,Many Instruments,Narrow pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,Low pitch,Punchy,Disharmonious,Dense,Children,Feminine,"No, all voices are normal-sounding",Spoken,Girls/women
ZkKgHOgNKEU,low,low,low,low,high,high,high,Many Instruments,Wide pitch variation,No melody,Repetitive,Complex rhythm,Fast tempo,Strong beat,Electric,Distorted,Loud,Heavy,High pitch,Punchy,Disharmonious,Dense,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Spoken,Boys/men
2g5RT58wvMQ,high,low,low,low,low,low,high,Few Instruments,Wide pitch variation,Clear melody,Non-repetitive,Complex rhythm,Slow tempo,Weak beat,Acoustic,Clear,Soft,Light,High pitch,Smooth,Harmonious,Sparse,Children,Feminine,Yes a feminine voice is gender exaggerated,Spoken,Girls/women
