stimulus_id,transcript,title,description,upload_date,duration
FzFLGqlk6nY,"The Wizarding World awaits with enchanting Hedwig! Imagine caring for Harry's owl! Give Hedwig an important message to deliver, then pet her with a secret code! Calm Hedwig's fluffy feathers and watch her react to your touch! She even reacts to sound! The Wizarding World enchanting Hedwig!",Wizarding World Enchanting Hedwig Interactive Harry Potter Owl - Smyths Toys,"Recreate your favourite Harry Potter scenes with the Wizarding World Enchanting Hedwig Interactive Harry Potter Owl! Featuring over 15 realistic sounds and movements and super soft plush material, Enchanting Hedwig brings the iconic Harry Potter owl to life.

 Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/harry-potter/wizarding-world-enchanting-hedwig-interactive-harry-potter-owl/p/197875

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/harry-potter/c/SM06010178

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210921.0,24.0
MImabA2JMXg,"B.I.P. Pets, B.I.P. Pets Color boost her style Twist to reveal, see that glam Wow! Let's get ready, so many colors Just like a rainbow B.I.P. Pets So many accessories Color makeover Add a fancy touch Mix the color, dye her hair It's so stylish, yeah 13 to collect B.I.P. Pets",VIP Pets Colour Boost Assortment- Smyths Toys,"VIP Pets are back with a new Colour Boost! A colourful collection of 12+ new dolls. 

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/vip-pets-colour-boost-assortment/p/199430

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210804.0,25.0
_btxBcKN2YY,"Store hours of music and hundreds of songs on this digital music player. Stream music from your smartphone or tablet via Bluetooth and record yourself singing along to your favorite songs onto a USB flash drive. And with the new voice control feature, you can access music on your Apple or Android device. Just press the button and say the name of the song you'd like to hear. It's that easy. Includes rechargeable batteries for hours and hours of music and sing-along fun.",eKids Bluetooth Karaoke Machine for Kids EK-558- Smyths Toys,"This eKids Bluetooth Karaoke Machine features a built-in portable speaker and a working wired microphone. 

Buy online at https://www.smythstoys.com/uk/en-gb/toys/arts-crafts-and-music/musical-instruments-and-karaoke/karaoke/ekids-bluetooth-karaoke-machine-for-kids-ek-558/p/203754

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20220729.0,37.0
VvbU0UG7LFg,"Hey parents, check out this fun toy from Hasbro!",Nerf N-Strike Elite Infinus- Smyths Toys,"Blast into action with on-the-go dart loading for non-stop battling! The Nerf N Strike Elite Infinus blaster features motorized Speed-Load Technology that automatically loads darts in the drum. The drum stays attached to the blaster, so battlers do not have to remove the drum to reload. They can load and fire darts without removing the drum, so they can keep battling as they’re reloading. The motorized Infinus blaster has a detachable 30-dart drum and comes with 30 Elite darts, giving kids plenty of firepower. The blaster is compatible with most other Nerf N-Strike Elite drums and clips (each sold separately). Crush opponents with a relentless barrage of darts from the Nerf N- Strike Elite Infinus blaster, which features Speed-Load Technology that automatically loads darts into the drum!

Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/nerf/nerf-range/nerf-n-strike-elite-infinus/p/167573

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/nerf/nerf-range/c/SM0601020302

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20181003.0,30.0
j4McRh79zaQ,"Hello friends! Today we will make a very delicious cake with a very simple recipe that is very easy to make and very tasty Please subscribe to our channel and press the bell icon to receive all our latest updates Thank you very much! Let's start! First, we need to make a dough We need to make a dough that is very thin and very soft you Thanks for watching!",Smyths Toys - Oddbods Toys,"New Oddbods Toys at Smyths Toys Superstores!
Check back at http://www.smythstoys.com/uk/en-gb/toys/action-figures-playsets/c-323/oddbods/",20160407.0,45.0
j6JivKVDWXY,"Glitzy Globes So sweet, so itsy, so itsy Glitzy Glitzy Globes Glitzy Globes are the adorable new snow globes that you create First, choose your glitzy friends Just fill with water Add your glitter magic Flip it And wow, you've made your own Glitzy Globes Accessorize and shake, shake, shake it Glitzy Globes Have fun sharing where you",Smyths Toys - Glitzi Globes,,20130820.0,30.0
OZiPbBbHX8Q,"I see you got a good spot, Seamus. Thanks. I'm sure Roman and Austin won't mind me sharing their parking space. It's the WWE Wreck-It Slam Crusher Monster Truck with eight breakaway parts to deliver terrifying destruction. Take your opponent out for a spin and load up the tornado launcher to whip up a whirlwind of pain. Yes! Because you crushed it. The WWE Wreck-It Slam Crusher Monster Truck. Other figures and raves.",WWE Wrekkin' Slam Crusher Monster Truck - Smyths Toys,"Wreck the truck and the competition with the WWE Wrekkin' Slam Crusher Monster Truck. Smash, bash, and crash your truck again and again with 8 breakable parts.

Shop Now at Smyths Toys: https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/wwe-wrestling/wwe-action-figures-range/wwe-wrekkin/wwe-wrekkin-slam-crusher-monster-truck/p/220947

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #wwe #wrestling",20230925.0,34.0
uSKBErRRGVs,"Master your force with new LEGO Star Wars sets. Takodana is under attack. Build the Resistance Troop Transport. Blast off! And attack! New LEGO Star Wars sets, each sold separately. You can use the Force to build, play, and explore inside the LEGO Star Wars set.",Smyths Toys - LEGO Star Wars,"LEGO Star Wars Battle on Takodana 75139
Defeat Kylo Ren at the forest castle with this LEGO Star Wars Battle on Takodana 75139 Set! The heroes of the Resistance are under attack on the planet Takodana! Battle it out against Kylo and the First Order Stormtroopers to ensure their safety. Can you avoid the exploding wall and collapsing staircase, and dodge the falling tree?
http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/p-16190/lego-star-wars-force-awakens-battle-on-takodana-75139/

LEGO Star Wars Resistance Troop Transporter 75140
Battle the forces of the First Order with the LEGO Star Wars Resistance Troop Transporter 75140! Lower the ramp and climb aboard the Resistance Troop Transporter. Jump into the cockpit and get ready for take-off. And if the First Order tries to attack, arm the shooters and get ready to fire!
http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/p-16199/lego-star-wars-force-awakens-resistance-troop-transporter-75140/


Find Full Range of LEGO Star Wars at http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/",20160311.0,30.0
sAGi0Dfdxpc,Squishville Squishin' Squishville Squishville Squishin' Create your own Squishville world Where everybody squishes in Everybody's on the move Headin' for the mall Faith and Heather are hot to shop You can collect them all Squishville Squishin' Squishville Squishville Squishin',Squishville Squishmallow Mall Playset- Smyths Toys,"A brand-new mall has opened up at Squishville, our favourite plush world, and it’s time to make a day out of it! 

Buy online at https://www.smythstoys.com/ie/en-ie/toys/fashion-and-dolls/squishmallows/squishville-squishmallow-mall-playset/p/205533

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20211119.0,25.0
wPO0GzFFq38,It's the Nerf Super Soaker Barrage Water Blaster from Hasbro. Now kids can battle with maximum soakage with the 84 fluid ounce Ultimate Capacity Super Soaker Barrage. Out soak the competition and turn the nozzle to choose between three different soaking modes. Pump the blaster and blast your target with a huge stream in flood mode. Fire at multiple targets in scatter mode. Or go for the long shot in distance mode and fire a stream of water up to 38 feet. The Nerf Super Soaker Barrage Water Blaster is for kids and adults.,Smyths Toys - NERF Super Soaker Barrage,"Soak like a champ with this huge-capacity Barrage soaker! This big
drencher can hold up to 84 ounces of water, and it's easy to pump and
fire. Turn the nozzle to 1 of 3 soaking modes so you can choose just
how to soak your target. You'll get a huge stream in Flood mode, or
the ability to hit multiple targets in Scatter mode. But if you need
to hit targets up to 38 feet away, it's Distance mode you want! Nobody
will stand against you when you come armed with the Barrage soaker!
Get it now at http://www.smythstoys.com/uk/en-gb/outdoor/c-647/pools-sand-pits/p-5129/nerf-super-soaker-double-drench-soaker/",20141209.0,40.0
W_GrGhP-60c,"Recycling Recycling Let's all have a good time Recycling See the fact, one at a time Meet the Recyclings Twist open the cap to reveal your new recycled friends Then pencil top, play and collect With more than 90 characters including limited editions The best part? All Recyclings are made from recycled bottle caps now that's plastic made fantastic",Recyclings - Smyths Toys,"Make plastic fantastic with a Recycling Pack! Expand your Recycling collection as you open up your pack and discover super-cute Recycling figures inspired by food, drink, tech, seasons and so much more!

Buy Online Now 👉https://www.smythstoys.com/ie/en-ie/search/?text=recyclings

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20220202.0,35.0
eoFhhiHAHws,Smashers! The Series 2 Smashers are being served! Come and get it! Smash opened the new eyeball to find the grossest Smashers hiding inside! Smash it! Cause you never know what you'll find! Who ordered the slime surprise? Can you find the ultra rare ooze dudes in slime? Gross! All aboard the sludge bus! Pack up your Smashers and ooze it up in the toilet! Gross bus driver! There's a whole new world of gross Smashers that you can collect! Smashers!,Smashers Gross - Smyths Toys,"They’re oozy… and a little bit gooey. They’re GROSS Smashers! What's inside the slimy eyeball? Just throw, smash, surprise to find over 100 disgustingly gross characters hiding inside! Can you find the eyeball with a SLIME surprise? Rebuild & resmash your Smashers eyeball anytime!

You'll need a seriously calm stomach to get through this Gross smash pack! With access to Glow in the Dark characters like Horrid Hand, the smashing will never end! Smash your Smashers on the ground, to the wall or anywhere you can think and start building your Smashers collection today!

Keep track of your entire ghastly collection with our free Collector's Guide inside every pack or download the Smashers app! The Smashers app allows you to interact with your collection and earn Smash Points to become the ultimate Smashers champion!

Purchase product at Smyths Toys: https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/other-action-figures-and-playsets/smashers-scary-20-pack-series-2/p/168040",20180803.0,34.0
Rc59kETUlek,"Ponypants! It's Roxanne, it's Roxanne Dancing queen of the farm Roxanne the chicken is laying eggs Check out her moves and sing her song Sing with Roxanne So cool! Sing with me! Watch me dance! It's Roxanne, it's Roxanne Bayolo!",Party Pets - Roxanne The Dancing Egg Machine- Smyths Toys,"Roxanne, The Dancing Queen of The Farm. Place the eggs inside the backpack, tap her wing and she will lay eggs while singing 3 catchy songs and performing her moves. 

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/soft-toys/party-pets-roxanne-the-dancing-egg-machine/p/188581

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200710.0,26.0
iGQz_ZyTH6o,"I had a beautiful dream. I knew a girl so special to me. She made me a beautiful home and loved all the creatures that live in the sea. We played together all day and loved to be with our friends. Imagine the world our way in My Mermaid, My Mermaid Lagoon. My Mermaid Lagoon. Create, play and imagine.",Smyths Toys - My Mermaid Lagoon,"My Mermaid Lagoon - Coral's Lagoon
Create a magical mermaid world where Mermaid Coral and her seahorse friend love to live! Mould, sculpt and play with the glittery magic sand and use corals, shells and other accessories to create an enchanting ‘under-the-sea’ lagoon in a beautiful bottle with a pretty shell-shaped stopper. Take Coral’s Lagoon anywhere, carried safe and snug in her clamshell home that fits perfectly into a pocket.
Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/my-mermaid-lagoon-coral-s-lagoon/p/160914
My Mermaid Lagoon - Marina's Lagoon
Create a magical mermaid world where Mermaid Marina and her dolphin friend love to live! Mould, sculpt and play with the glittery magic sand and use corals, shells and other accessories to create an enchanting ‘under-the-sea’ scene for Marina in a beautiful bottle with a pretty shell-shaped stopper. Take Marina’s Lagoon anywhere, carried safe and snug in her clamshell home that fits perfectly into a pocket.
Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/my-mermaid-lagoon-marina-s-lagoon/p/160912",20170908.0,36.0
lUR_MNr1Ur4,"Can you master a million? Pick your color and start balling on your way to a million. And with the app, check the leaderboard in real time. You can bounce and trounce friends around the world. How long will it take you to master a million? Master a Million by Jax Pacific. Ask parents' permission to",Smyths Toys - Master A Million Bouncing Ball,"How long will it take you to Master A Million bounces with this Master A Million Bouncing Ball? Whether you’re playing catch with friends or bouncing on your own, your Master a Million ball will be keeping track of how many times it is bounced to see how long it takes you to get 1,000,000 bounces! Your ball will give you encouraging messages when you hit key milestones, and you can compete with siblings, friends, and players around the world as your score will be available to track online. Take your ball with you wherever you go so you’re always ready to up your score! Will you be the one who hits a million first? Get started bouncing today! (Device and app required to view world leader board not included)
Subscribe to the Smyths Toys Superstores YouTube channel: https://goo.gl/rAosm1

Official Smyths Toys Superstores website:  https://www.smythstoys.com/",20180309.0,24.0
IErvT5b2JKk,New LEGO Star Wars Micro Fighter Sets! Hey Buckethead! The battle begins when you build with LEGO Star Wars! The chase is on! Your flying leaves me a little flat. LEGO Star Wars Micro Fighter Sets!,Smyths Toys - LEGO Star Wars Microfighters,"LEGO Star Wars Resistance X-Wing Fighter 75125
LEGO Resistance X-Wing Fighter 75125 is the perfect addition to your LEGO Star Wars collection. The First Order is attacking. It’s time to call in the Resistance X-Wing Fighter micro fighter. With foldable wings and space for the Resistance X-Wing Pilot to sit you are ready to blast off.
http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/p-16074/lego-star-wars-resistance-x-wing-fighter-75125/

LEGO Star Wars The Ghost 75127
Lead a micro-scale rebellion against the Empire with this LEGO Star Wars The Ghost 75127 Set! The Empire must be stopped and the The Ghost micro fighter has just what it takes. Win the battle against the Empire with The Ghost micro fighter with big engines, stud shooter and space to seat the included Hera Syndulla minifigure with blaster pistol.
http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/p-16226/lego-star-wars-the-ghost-75127/

LEGO Star Wars X-wing Fighter 75032
Fight mini LEGO Star Wars battles in space with the cool X-Wing Fighter microfighter. This great micro-version of the iconic Rebel starfighter has a surprising level of detail, like moveable wings, 4 flick missiles, Astromech Droid section and a mini cockpit for the X- Wing™ Pilot to sit in! Fuel up and get ready for mini-sized combat. Includes an X-Wing Pilot minifigure with a blaster pistol
http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/p-15323/lego-star-wars-force-awakens-poe-s-x-wing-fighter-75102/

LEGO Star Wars TIE Advanced Prototype 75128
Go on the hunt for micro fighter rebels with this LEGO Star Wars TIE Advanced Prototype 75128! The rebels are out there and must be stopped! Unfold the TIE Advanced Prototype’s wings and arm the missiles. Then seat the TIE Pilot in the cockpit and prepare to launch into a galaxy of space adventures.
http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/p-10696/lego-star-wars-tie-advanced-prototype-75082/

LEGO Star Wars AT-DP 75130
LEGO Star Wars AT-DP 75130 makes a great addition to any micro fighter collectible set or a LEGO Star Wars Collection. LEGO Star Wars AT-DP 75130 has posable legs, a stud shooter and an open cockpit with space for a mini figure to sit. The AT-DP Driver mini figure is highly detailed with an AT-DP Driver helmet, a blaster pistol and extra stud shooter ammo.
http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/p-16186/lego-star-wars-at-dp-75130/

LEGO Star Wars Wookiee Gunship 75129
Join the Wookiees in miniature battle with this LEGO Star Wars Wookiee Gunship 75129! When enemy forces invade, it’s time to call in the Wookiee Gunship microfighter. Load the Wookiee into the cockpit, arm the missiles and get ready to speed into battle! Repel the enemy with this Wookiee Gunship micro fighter with movable wings, flick missiles with extra ammo and space for the included Wookiee mini figure with bowcaster.
http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/p-16208/lego-star-wars-wookiee-gunship-75129/

Full range of LEGO Star Wars at http://www.smythstoys.com/uk/en-gb/toys/lego-bricks/c-775/lego-star-wars/",20160311.0,30.0
FqM22SlBzu0,"The action of Hot Wheels meets Mario Kart on the Rainbow Road Raceway! Watch that curve, Yoshi! Look out, Toad! Dash through the items! On your way to victory! Hot Wheels Mario Kart Rainbow Road Raceway comes with two karts. Other karts sold separately.",Hot Wheels Mario Kart Rainbow Road - Smyths Toys,"Hot Wheels and Mario Kart bring a dramatic video game level to life with the most iconic and final course in the franchise – Rainbow Road! The 8-foot long track has five translucent rainbow-coloured race lanes that can be configured straight or curved.

Shop the Hot Wheels Mario Kart Rainbow Road Playset with Vehicles here: https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/car-toys/hot-wheels/hot-wheels-playsets/hot-wheels-mario-kart-rainbow-road-playset-with-vehicles/p/196849

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #HotWheels",20230323.0,24.0
rQZ4Kfy8MUU,"Is everyone ready? Live out your best dreams! What's up, dream besties? Hey y'all! Come get to know our personalities And accessories We keep it chic Na na na na na Barbie Dream Besties Live out your best dreams",Barbie Dream Besties Range - Smyths Toys,"""✨ Dream big with your besties! ✨ Explore the Barbie Dream Besties range and bring endless adventures to life! 💖🌈""

Shop Here - https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/barbie/c/SM06010403

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #BarbieDreamBesties #friendshipgoals",20241204.0,24.0
Ls1n_ELV4ok,"One, two, three! Shake, shake, shake, shake, shaky nails! Shake, shake, shake, shaky, shaky nails! Add some sparkle and glamour to your nails with the Very Bella Shaky Shake nails! Shake, shake, shake, shake",Smyths Toys - Very Bella Shaky Shake Nails,"Very Bella is a unique make up and style range for young girls. Capture fashion and make-up trends. The new 100% Nail Collection focuses on up to date nail trends, made popular by celebrities, whilst still maintaining the safe cosmetics standards. The Very Bella Shaky Shake nails contains a nail glitter applicator, 2 glitter pots, 2 glitter packs, nail stickers and double sided nail adhesives. Apply glitter to nails using the fun 'maraca' style applicator.

Contents: nail glitter applicator, 2 glitter pots, 2 glitter packs, nail stickers, double sided nail adhesives.

As with most cosmetics, certain individuals may experience infrequant instants of sensitivity. Apply a spot of colour to the inside of the elbow and leave for 30-60 minutes. If a reaction occurs, do not use. Glitter products and nail polish are not intended for use around the eyes.
Get it at http://www.smythstoys.com/uk/en-gb/toys/arts-creativity-music/c-539/fashion-craft/p-6177/very-bella-shaky-shake-nails/",20150309.0,20.0
dbwFazqPpHw,Time for a nerf war bros Where's Eddie? What kind of nerf is that? This ain't nerf! It's X-Shot! Regenerator blaster Over a thousand attachment combinations And can take out anything with pinpoint accuracy,Zuru X-Shot Regenerator - Smyths Toys,"X-SHOT Regenerator allows you to make over 1000 combinations with its detachable accessories that allow you to configure your blaster the way you like it the most!

Attach a Scope and a Bipod for the perfect sniping combination! Go for a Tactical Grip, a Front Sight and Stock for Spec Ops! Or blast the competition away with a Long Barrel, extra Dart Stock and lots of Dart Clips! Or do it all together... the possibilities are endless!

📹 Subscribe to the Smyths Toys YouTube channel 
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website  
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf",20180703.0,20.0
