stimulus_id,product_category,filming_location,target_of_toy_ad,interaction,voice_type,voice_age,voice_gender,voice_exagg,asian,black,white,other,title,description,upload_date,transcript,domesticity_nurturing_cues,consumerism_cues,fashion_beauty_cues,nature_animals_cues,love_tenderness_cues,magic_fantasy_cues,action_adventure_cues,fight_combat_cues,speed_racing_cues,horror_monsters_cues,science_technology_cues,sports_cues,gross-out_cues,fun_play_cues,arts_crafts_cues
x85TYyRIRwU,Dolls,Indoors,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,Yes,Yes,No,Hatchimals Pixies Crystal Flyers - Smyths Toys,"Crystal Flyers are the first-ever Hatchimals Pixies that can really fly.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/hatchimals/hatchimals-toys/hatchimals-pixies-crystal-flyers-pink-magical-flying-pixie/p/188015

https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/hatchimals/hatchimals-toys/hatchimals-pixies-crystal-flyers-purple-magical-flying-pixie/p/188016

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200814," Hatchimals Crystal Flyers Can you keep a secret? Flying Pixies are real! New Hatchimals Crystal Flyers! The magic is in your hands! Only you can make them fly! A little touch and her glittery wings flutter and twirl! The magic is in your hands. Hatchimals Crystal Flyers. Hatchimals Pixies Crystal Flyers with USB charge, each sold separately.",,,glittery,hatchimals=hatch+animals,,pixies magic ,,,,,,,,,
AB8ud4ogIvo,Dolls,Indoors,Girls/women,They do not interact with each other or there is only one actor/presenter,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,No,Yes,No,VIP Pet Assortment - Smyths Toys,"The VIP Pets are the most fashionable dogs with super long hair! There are 6 different characters with different personalities and hobbies.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/other-fashion-and-dolls/vip-pet-assortment/p/190612

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20200812," VIP Pets, VIP Pets Be friends, VIP Pets Discover a world full of hairstyles Unboxed like magic under the water Look at her hair, it's super long VIP Pets, VIP Pets So many accessories comb her hair They are amazing It's incredible The original style to the max At a final touch Lady Gigi, Neela, Gwen, Alexia, Juliet and Taylor. 12 dolls to discover. New hair let's dance. I love VIP pets.",,unboxed accessories ,VIP hairstyles comb hair style ,pets,,magic ,,,,,,,,dance,
04YHrUko8yI,Toy Vehicles (Powered and Non-Powered),Indoors,Boys/men,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Hot Wheels ID Race Portal - Smyths Toys,"Hot Wheels ID offers a whole new gaming experience in the real and digital worlds, turning driving enjoyment into a new, exciting adventure. Hot Wheels ID is a unique game world that combines the myriad of opportunities for stunning stunts and thrilling competitions with a secure, connected platform to let kids enjoy their experimentation and race.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/hot-wheels/hot-wheels-playsets/hot-wheels-id-race-portal/p/177235

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/hot-wheels/c/SM06010210

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20191017," New Hot Wheels ID Smart Portal connects to any of your Hot Wheels tracks. So you can scan your ID car into the virtual garage, race them, and clock your speed. You can play in the physical and level up in the digital. Now you can prove it with new Hot Wheels ID Smart Portal. Comes with two cars, other cars and track each sold separately. Smart device not included. App and Wi-Fi required.",,,,,,,,,wheels tracks garage race speed ,,connects scan ID virtual digital device app Wi-Fi,,,,
cvvhKy1PFn8,None of the Above,Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,No,Yes,Yes,No,Crate Creatures KaBOOM - Smyths Toys,"Push the plunger, detonate your KaBOOM Box and watch your Crate Creature explode out of its crate!

You can buy Crate Creatures here: https://www.smythstoys.com/crate-creatures/c/crate-creatures

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys #CrateCreatures",20190227," Ha ha ha ha ha ha! Kaboom! Crank Creatures Kaboom! Blow em up, put em back together now they're all mixed up! Crank Creatures Kaboom! Each body part you put in or out makes a different sound! Ow! Crank Creatures Kaboom! Swap more parts, unlock more sounds! Kaboom! Mix, match, switch em all around! Every body part makes a different sound! Yee-haw-haw! Crank Creatures Kaboom! Crank Creatures Kaboom Box! Each sold separately! Want a piece of me?",,,,,,,,kaboom blow,,,,,,,
FhyVUb25Ilc,"Action Figures, Battling Toys and Toy Weapons",BOTH indoors and outdoors,Boys/men,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,Yes a masculine voice is gender exaggerated,Yes,Yes,Yes,No,"Bakugan GeoForge Dragonoid, 7-in-1 Exclusive True Metal Dragonoid - Smyths Toys","Dominate the Bakugan arena with the epic GeoForge Dragonoid! The GeoForge Dragonoid features 6 exclusive individual Geogan, an exclusive True Metal die-cast Dragonoid, 6 ability cards, 2 BakuCores, a Gate-Card, and a character card.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/bakugan/bakugan-geoforge-dragonoid-7-in-1-exclusive-true-metal-dragonoid-and-6-geogan-bakugan-coll/p/198928

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/action-figures-and-playsets/bakugan/c/SM06010109

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20210921," From the world of Bakugan, the battle has evolved! Introducing a new collection! Six new Geogons and a die-cast Dragonoid you've never seen before! Each powerful alone, but strong together! Dominate your opponents with the Geoforge Dragonoid! The ultimate Bakugan ever! Geoforge Dragonoid Geogons and other Bakugans",,,,,,dragonoid,,battle dominate opponent,,,,,,,
Eej5_xQMdF0,Educational,Indoors,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),BOTH feminine and masculine voices,"No, all voices are normal-sounding",No,No,Yes,No,Wild Science Perfume Factory - Smyths Toys,"Invent and blend your own secret formula perfumes for you and your friends with this Perfume Factory Set. You have 5 gift vials with pretty labels for friends, but keep the best in your beautiful Glass Atomizer Bottle, just for you. Create scented Ruby Crystal Pot Pourri ... and more. The Perfume Extraction part of the kit uses a large syringe as an accurate measuring and pressure producing filter pump. The 4 base perfumes represent the different ‘notes’ used in perfume design – the different notes being related to the volatility of the oil. With shaking and added pressure the volatile oils emulsify and go into suspension in water making an eau de parfum. Fine fibres are also removed by repeated pressure filtering – just as in a real lab.  

Buy online at https://www.smythstoys.com/uk/en-gb/wild-science/wild-science-perfume-factory/p/164972

Browse our range at https://www.smythstoys.com/uk/en-gb/wild-science/c/wild-science

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20180905," Now together with a friend you can mix and shake and blend from the Perfume Laboratory. This one smells of crows, it's wild and smells for all our noses from the Perfume Laboratory. There's one that's so for you and there's one that's so for me. Don't forget the Perfume Laboratory. Perfume Laboratory, it's wild! And here's another great idea from Wild Science, Bath Bomb Factory. They fizz, they froth, so easy to make and smell divine. Two great Wild Science ideas, available at all leading",bath,perfume,,,,,,,,,laboratory science,,,,
MzsYGbir9i4,(Group) Games and Puzzles,Indoors,Mixed,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Gooey Louie Board Game- Smyths Toys,"Get ready to 'pick' a winner when you go head to head with Gooey Louie.

Buy online at https://www.smythstoys.com/uk/en-gb/toys/games-puzzles-and-books/board-games/children-s-board-games/gooey-louie-board-game/p/199638

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20211109," Goofy Louie just sneezed! Look what came out of his nose! Gooey's! Pull one out, but watch out! Pick the wrong one, and he'll flip his leg! Oh no! His brains flew out! Go ahead and pick a winner! Gooey Louie!",,,,,,,,,,,,,sneezed gooey brains,,
c3lOglJbNMo,Dolls,Indoors,Girls/women,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Feminine,Yes a feminine voice is gender exaggerated,No,Yes,Yes,No,L.O.L. Surprise! O.M.G. Remix 4-in-1 Plane Playset - Smyths Toys,"B.B.s, this is your captain speaking, we are ready for takeoff! Travel in style in the L.O.L. Surprise! O.M.G. Remix 4-in-1 Plane. This transforming playset is 4-in-1: Plane, Car, Recording Studio and Mixing Booth. Unbox 50 surprises, including working lights and sounds, drink cart with plates and cups, rolling suitcases, overhead compartments that open and close, seatbelts and more!

Buy online https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/l-o-l-surprise-o-m-g-remix-4-in-1-plane-playset/p/189120

Browse our range at https://www.smythstoys.com/uk/en-gb/toys/fashion-and-dolls/l-o-l-surprise-/c/SM06010488

📹 Subscribe to the Smyths Toys YouTube channel
👉 https://goo.gl/rAosm1

💻 Official Smyths Toys website
👉 https://www.smythstoys.com/

📧 Subscribe Now to our emails to receive special offers, promotions & new product information!
👉 https://goo.gl/TErckf

#SmythsToys",20201008," Remix! LOL Plane's so fun, it's a 4-in-1! It's the LOL Surprise OMG Remix 4-in-1 Plane! My crew is fist, hey hey Working that runway With over 50 surprises! 1. Cool plane in the sky 2. B.I.B.B. card, let's drive! 3. Recording studio, rock your vibe! 4. Mixing booth, mixing in style! Remix! LOL Surprise OMG Remix 4-in-1 Plane Dolls and plane each sold separately This plane is fly!",,,style,,,,,,drive plane runway,,,,,fun surprise,
ZaWRrNOseg4,High-tech Interactive Playmates and Robotics,Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Teksta Micro-Pet,"Teksta Micro-Pet - Assortment
The Teksta Micro-Pets are miniature artificially intelligent and touch sensitive pets. Pet them to reward them. They love it! Each Pet will zoom around in different directions and makes realistic animal sounds with expressive, light up eyes. They even interact with your other Teksta Pets! There are 4 cool characters to collect including: Puppy, Kitty, Racoon and Dinosaur. (Each sold separately)
Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/teksta-micro-pet-assortment/p/157410
Teksta Micro-Pets Adventure Park Playset
Design and build your own adventure track with this Teksta Micro-Pets Adventure Park Set. Watch your pets zoom around their adventure park! Call your pet or clap and they will start to walk! Each individual pet has its own extra feature to complete within its playset. The snap pieces can be configured in many different ways. Each Playset connects to each other via a snap mechanism, playset also converts in to a wheel. There are 4 cool characters plus playsets to collect including: Puppy, Kitty, Racoon and Dinosaur! Voice and sound interactive! (Each sold separately)
Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/teksta-micro-pets-adventure-park-playset/p/157411",20170808," Textile MicroPets, robotic pets that respond to your voice. Come on boy! Watch them go! So cute! Where are you? Micro-sized but maxi-fun. Whoa! Look at him go! Build a training centre and put your robot to the test. Come on! Good boy! Test them and build the ultimate test track. Whoa! Interactive Textile Micro Pets and Training Centers. Each sold separately.",,,,pets good-boy,cute,,,,,,robotic,,,,
PjA-VYesTtw,(Group) Games and Puzzles,Indoors,Mixed,They are working or playing together in a cooperative way,Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Elly Fountain Game,"The Elly Fountain Game is an action game where you take it in turns to feed Elly. This little elephant can be naughty and might squirt you with water! If you get sprayed you are lucky and can take a splash token. The first to get 3 splash tokens is the winner! The Elly Fountain Game is hilarious fun for children!

http://www.smythstoys.com/uk/en-gb/toys/games-puzzles-books/c-564/childrens-board-games/p-13717/elly-fountain-game/",20150901," Here's Ellie Fountain, the water squirting friendly elephant. He just loves that fruit. He's really hungry. Press his paw and keep feeding that fruit. If he squirts on your",,,,elephant,loves,,,,,,,,,,
xNGvheoGSrE,High-tech Interactive Playmates and Robotics,Indoors,Mixed,They are working or playing together in a cooperative way,BOTH spoken and sung,Adults (including young adults),Feminine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Build a Bot Robo Pet,"Build a Bot Dino Robo Pet
Build, customize and play with your Build-a-bot Dino. You can even take it apart, reassemble it or mix and match with the other characters (sold separately, subject to availability). Comes with 20+ Dinosaur pieces, leaf food trigger, sticker sheet, build certificate and learning guide.
Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/build-a-bot-dino-robo-pet/p/165043

Build a Bot Bunny Robot Pet
Buy online at https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/build-a-bot-bunny-robot-pet/p/165044

Build a Bot Fox Robot Pet
https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/robots/build-a-bot-fox-robot-pet/p/165045

Subscribe to the Smyths Toys Superstores YouTube channel: https://goo.gl/rAosm1

Official Smyths Toys Superstores website:  https://www.smythstoys.com/",20180119," Build-a-bot is your very own robot. Build-a-bot, build it and it goes to body. Come on, let's make a robot. I'm a Build-a-bot and I'm really easy to make. You can even add your own personal touches too. Don't I look great? Feed me and watch me hop right to it. Choose your Build-a-bot buddy and make your very own robot. Build it and it goes to body.",,,,,,,,,,,build bot robot,,,,
nbUOQ6gAudo,Outdoor and Sports,Outdoors,Mixed,"They are working or playing together, but focused on winning/fighting",Spoken,Adults (including young adults),Masculine,"No, all voices are normal-sounding",No,No,Yes,No,Smyths Toys - Smackerz Assortment,"The Smack-tastic, Smack-erific and Smack-tacular new craze, Smackerz! Show off your tricks with the ultimate test of skill and coordination. Practice tricks on your own or battle against your friends to see who is the Ultimate Smackerz champion! Simply, move the handle up & down to get your Smackerz going! Mix and match your Smackerz and customise your style

Buy online at http://www.smythstoys.com/uk/en-gb/outdoor/c-664/garden-games-accessories/p-21351/smackerz-assortment/",20170217, It's Smackers! Spin and swirl with a twist of the wrist. The ultimate skills challenge! You can perform loads of epic tricks. Battle your friends and see who's the Smackers champion. Smackers!,,,,,,,,battle,,,,,,,
